Country,ISO,Year,Renewable_Electricity_Share,Renewable_Production,Per_Capita_CO2,GDP_Growth,Carbon_Rate_2023,comp_RenewElec,comp_RenewProd,comp_Transition,comp_EconRes,comp_PolicyEnable,Opportunity_Score,Opportunity_Category,Flag_RenewElec_Imputed,Flag_RenewProd_Imputed,Flag_GDP_Imputed_opp,Flag_CarbonRate_Imputed_opp
Bangladesh,BGD,2021,1.7252079,1.39,0.550177,6.9,-0.0017498475,13.0631,43.6937,81.982,74.5495,5.8559,39.2,Moderate,False,False,False,False
Bulgaria,BGR,2021,21.79704,10.31,6.180805,7.6,60.509453,39.1892,70.2703,22.0721,80.6306,88.2883,57.97,High,False,False,False,False
Bahrain,BHR,2021,0.031486146,0.01,26.66372,2.6,,9.009,11.2613,0.4505,21.3964,39.1892,14.67,Low,False,False,False,True
Bahamas,BHS,2021,0.0,0.0,5.850522,17.0,,4.0541,4.2793,24.3243,97.7477,39.1892,26.48,Low,False,False,False,True
Bosnia and Herzegovina,BIH,2021,41.369392,7.19,4.147523,7.4,,68.4685,66.2162,37.8378,79.0541,39.1892,60.51,High,False,False,False,True
Belarus,BLR,2021,2.9860954,1.31,6.222741,2.3,,15.3153,43.2432,21.6216,19.3694,39.1892,27.43,Low,False,False,False,True
Belize,BLZ,2021,40.625,0.26,1.72317,15.2,,68.018,27.027,63.964,96.8468,39.1892,57.16,High,False,False,False,True
Bermuda,BMU,2021,,,8.537196,,,50.0,50.0,13.964,49.7748,39.1892,42.94,Moderate,True,True,True,True
Bolivia,BOL,2021,41.737488,4.42,1.930686,6.1,,68.9189,58.7838,61.2613,66.6667,39.1892,60.44,High,False,False,False,True
Brazil,BRA,2021,76.7711,508.67,2.281014,5.0,0.43982789,85.5856,99.0991,57.2072,49.7748,72.5225,77.38,Very High,False,False,False,False
Barbados,BRB,2021,7.476635,0.08,4.001781,-0.2,,22.0721,20.045,40.0901,8.1081,39.1892,24.74,Low,False,False,False,True
Brunei Darussalam,BRN,2021,0.0,0.0,23.532003,-1.6,,4.0541,4.2793,1.8018,4.955,39.1892,9.18,Low,False,False,False,True
Bhutan,BTN,2021,100.0,9.0,1.957702,-3.3,,99.0991,68.4685,60.8108,2.7027,39.1892,62.25,High,False,False,False,True
Botswana,BWA,2021,0.456621,0.01,2.51115,11.9,,12.1622,11.2613,54.0541,92.7928,39.1892,34.37,Low,False,False,False,True
Central African Republic,CAF,2021,100.0,0.15,0.041651,1.0,,99.0991,21.3964,97.2973,11.2613,39.1892,57.24,High,False,False,False,True
Canada,CAN,2021,68.16998,426.71,14.300468,5.0,42.006371,82.4324,98.6486,6.3063,49.7748,85.5856,70.64,High,False,False,False,False
Switzerland,CHE,2021,66.05731,40.11,4.019107,5.4,168.77026,80.1802,88.2883,39.6396,59.4595,100.0,75.99,Very High,False,False,False,False
Chile,CHL,2021,42.706417,42.9337115,4.383426,11.7,36.768517,70.2703,89.1892,35.1351,92.3423,85.1351,75.27,Very High,False,False,False,False
China,CHN,2021,28.907642,2452.53158,8.045741,8.4,,55.8559,100.0,16.6667,85.1351,39.1892,62.91,High,False,False,False,True
Côte d'Ivoire,CIV,2021,30.145721,3.31,0.426033,7.0,,57.6577,56.3063,84.2342,76.1261,39.1892,61.31,High,False,False,False,True
Cameroon,CMR,2021,62.36025,5.02,0.341829,3.6,,77.027,60.8108,87.3874,30.1802,39.1892,61.82,High,False,False,False,True
Democratic Republic of the Congo,COD,2021,99.728264,11.01,0.027183,6.2,,96.3964,72.5225,98.1982,67.7928,39.1892,77.83,Very High,False,False,False,True
Congo,COG,2021,24.129353,0.97,1.279064,1.1,,43.6937,37.8378,68.9189,12.3874,39.1892,40.64,Moderate,False,False,False,True
Cook Islands,COK,2021,40.0,0.02,5.375721,,,66.6667,14.6396,27.4775,49.7748,39.1892,41.13,Moderate,False,False,True,True
Colombia,COL,2021,73.649734,59.59,1.780076,11.0,-9.1831169,84.6847,91.4414,63.5135,90.5405,2.7027,71.78,High,False,False,False,False
Comoros,COM,2021,0.0,0.0,0.362904,2.1,,4.0541,4.2793,86.036,17.7928,39.1892,23.74,Low,False,False,False,True
Cape Verde,CPV,2021,15.555556,0.0699999999999999,1.135678,6.4,,31.982,19.3694,71.6216,70.2703,39.1892,41.6,Moderate,False,False,False,True
Costa Rica,CRI,2021,98.74115,12.55,1.517185,7.8,67.43219,95.4955,75.2252,66.6667,81.5315,89.6396,83.13,Very High,False,False,False,False
Cuba,CUB,2021,21.367086,4.22,1.959542,,,38.7387,57.6577,60.3604,49.7748,39.1892,48.43,Moderate,False,False,True,True
Curaçao,CUW,2021,,,9.686792,,,50.0,50.0,10.8108,49.7748,39.1892,42.47,Moderate,True,True,True,True
Christmas Island,CXR,2021,,,0.0,,,50.0,50.0,99.3243,49.7748,39.1892,55.74,High,True,True,True,True
Cyprus,CYP,2021,15.234375,0.78,6.108741,6.6,81.570091,31.5315,36.4865,23.4234,72.7477,93.2432,46.99,Moderate,False,False,False,False
Czech Republic,CZE,2021,12.791114,10.71,9.241807,3.6,68.082481,28.3784,71.1712,11.2613,30.1802,90.5405,46.1,Moderate,False,False,False,False
Germany,DEU,2021,39.64001,230.8,8.089741,3.2,93.442047,65.3153,97.7477,15.3153,25.0,96.3964,64.54,High,False,False,False,False
Djibouti,DJI,2021,0.0,0.0,0.342974,4.5,,4.0541,4.2793,86.9369,37.1622,39.1892,26.78,Low,False,False,False,True
Dominica,DMA,2021,23.529411,0.04,2.189268,6.9,,41.8919,16.4414,58.5586,74.5495,39.1892,42.52,Moderate,False,False,False,True
Denmark,DNK,2021,78.947365,26.1,5.052228,6.8,108.14118,86.9369,82.4324,29.7297,73.4234,98.1982,76.89,Very High,False,False,False,False
Dominican Republic,DOM,2021,17.178612,3.0200000000000005,2.601405,12.3,14.999579,34.2342,55.8559,52.2523,93.4685,79.7297,58.05,High,False,False,False,False
Algeria,DZA,2021,1.1735878,0.91,3.989977,3.4,,12.6126,37.3874,40.5405,27.7027,39.1892,29.25,Low,False,False,False,True
Ecuador,ECU,2021,83.54978,27.02,2.321741,4.2,-43.985428,90.5405,83.3333,55.8559,34.6847,0.4505,61.64,High,False,False,False,False
Egypt,EGY,2021,11.386897,23.03,2.284635,3.3,-5.748817,26.5766,81.5315,56.7568,26.1261,3.6036,41.33,Moderate,False,False,False,False
Eritrea,ERI,2021,2.2222223,0.01,0.226666,3.8,,14.4144,11.2613,90.5405,31.5315,39.1892,31.33,Low,False,False,False,True
Spain,ESP,2021,46.43477,125.75,4.920291,6.4,67.718468,72.0721,95.9459,31.982,70.2703,90.0901,74.46,High,False,False,False,False
Estonia,EST,2021,39.91655,2.87,7.864087,7.2,80.378998,66.2162,55.4054,17.1171,77.7027,92.7928,61.86,High,False,False,False,False
Ethiopia,ETH,2021,99.93193,14.679999999999998,0.147922,6.3,-6.0485978,97.2973,76.5766,93.2432,68.6937,3.1532,73.1,High,False,False,False,False
Finland,FIN,2021,52.90746,37.85,6.792338,3.2,101.84974,73.4234,87.3874,20.2703,25.0,97.7477,65.33,High,False,False,False,False
Fiji,FJI,2021,62.83186,0.71,1.590295,-4.9,,77.9279,34.9099,65.7658,2.2523,39.1892,48.19,Moderate,False,False,False,True
France,FRA,2021,22.231913,122.36,4.741312,6.4,47.142189,40.0901,95.4955,32.8829,70.2703,86.4865,64.35,High,False,False,False,False
Faeroe Islands,FRO,2021,38.095238,0.16,13.203997,,,64.8649,22.5225,7.2072,49.7748,39.1892,39.52,Moderate,False,False,True,True
Micronesia (Federated States of),FSM,2021,,,1.405118,-2.2,,50.0,50.0,67.5676,4.0541,39.1892,44.12,Moderate,True,True,False,True
Gabon,GAB,2021,44.541485,1.02,2.44,1.5,,70.7207,39.4144,54.5045,14.4144,39.1892,47.29,Moderate,False,False,False,True
United Kingdom,GBR,2021,39.783825,122.2,5.1541,7.6,35.185329,65.7658,95.045,28.8288,80.6306,84.6847,72.61,High,False,False,False,False
Georgia,GEO,2021,81.17088,10.26,2.929711,10.5,,88.7387,69.8198,49.5495,88.7387,39.1892,70.7,High,False,False,False,True
Ghana,GHA,2021,34.861507,7.3,0.649127,5.1,18.661732,61.7117,66.6667,78.3784,57.2072,81.982,67.82,High,False,False,False,False
Guinea,GIN,2021,72.66187,2.02,0.357805,5.0,,83.7838,45.045,86.4865,49.7748,39.1892,62.71,High,False,False,False,True
Guadeloupe,GLP,2021,31.176468,0.53,5.78478,,,59.009,31.3063,24.7748,49.7748,39.1892,42.59,Moderate,False,False,True,True
Gambia,GMB,2021,0.0,0.0,0.248379,5.3,,4.0541,4.2793,89.6396,58.5586,39.1892,30.39,Low,False,False,False,True
Guinea-Bissau,GNB,2021,0.0,0.0,0.170736,6.4,,4.0541,4.2793,92.3423,70.2703,39.1892,32.56,Low,False,False,False,True
Equatorial Guinea,GNQ,2021,30.985916,0.44,3.196633,-0.4,,58.5586,27.9279,48.1982,7.6577,39.1892,38.81,Moderate,False,False,False,True
Greece,GRC,2021,40.494053,22.130000000000003,5.390839,8.4,76.5933,67.1171,80.6306,27.027,85.1351,92.3423,70.97,High,False,False,False,False
Grenada,GRD,2021,0.0,0.0,2.56167,4.7,,4.0541,4.2793,53.1532,40.5405,39.1892,22.22,Low,False,False,False,True
Greenland,GRL,2021,83.33333,0.5,9.079509,,,90.0901,29.2793,12.6126,49.7748,39.1892,49.58,Moderate,False,False,True,True
Guatemala,GTM,2021,66.55125,9.6099999,1.154393,8.0,11.460323,81.0811,69.3694,70.2703,83.1081,77.9279,76.36,Very High,False,False,False,False
French Guiana,GUF,2021,66.03774,0.7000000000000001,2.189895,,,79.7297,34.2342,58.1081,49.7748,39.1892,54.54,Moderate,False,False,True,True
Guyana,GUY,2021,13.00813,0.16,3.837874,20.1,,28.8288,22.5225,43.2432,98.6486,39.1892,41.44,Moderate,False,False,False,True
Hong Kong,HKG,2021,0.056737587,0.02,4.224972,6.4,,9.4595,14.6396,37.3874,70.2703,39.1892,28.52,Low,False,False,False,True
Honduras,HND,2021,52.046783,6.23,1.060269,12.5,,72.973,64.4144,72.0721,94.1441,39.1892,68.81,High,False,False,False,True
Croatia,HRV,2021,69.64286,10.53,4.359818,13.1,69.537514,82.8829,70.7207,35.5856,95.045,91.4414,75.86,Very High,False,False,False,False
Haiti,HTI,2021,13.131313,0.13,0.251226,-1.8,,29.2793,20.7207,89.1892,4.5045,39.1892,33.9,Low,False,False,False,True
Hungary,HUN,2021,19.215796,6.91,4.990287,7.2,55.361725,35.1351,65.3153,31.0811,77.7027,87.3874,56.3,High,False,False,False,False
Indonesia,IDN,2021,18.188877,56.22,2.262175,3.7,-4.9794583,34.6847,90.991,57.6577,31.0811,4.5045,47.14,Moderate,False,False,False,False
India,IND,2021,19.384392,332.203618,1.925088,9.1,8.093874,36.036,98.1982,61.7117,86.9369,75.6757,69.01,High,False,False,False,False
Ireland,IRL,2021,36.772152,11.62,7.528353,15.1,59.683121,63.964,72.973,18.9189,96.3964,87.8378,67.91,High,False,False,False,False
Iran,IRN,2021,4.664096,16.690686000000003,8.517397,4.7,,17.5676,78.3784,14.4144,40.5405,39.1892,38.99,Moderate,False,False,False,True
Iraq,IRQ,2021,5.4287477,5.28,4.262931,1.6,,19.3694,62.1622,36.036,15.5405,39.1892,34.97,Low,False,False,False,True
Iceland,ISL,2021,99.98653,19.617944361,9.113272,4.5,96.711327,97.7477,79.7297,12.1622,37.1622,96.8468,71.18,High,False,False,False,False
Israel,ISR,2021,6.7870827,4.96,6.126761,9.3,71.327499,21.6216,59.9099,22.973,87.3874,91.8919,51.8,Moderate,False,False,False,False
Italy,ITA,2021,40.619434,116.32999999999998,5.548371,7.0,110.8419,67.5676,94.1441,26.1261,76.1261,99.0991,74.01,High,False,False,False,False
Jamaica,JAM,2021,16.32184,0.71,2.719439,4.6,32.713001,32.8829,34.9099,51.3514,38.7387,83.7838,44.67,Moderate,False,False,False,False
Jordan,JOR,2021,23.537477,5.15,2.295755,2.2,,42.3423,61.2613,56.3063,18.6937,39.1892,45.15,Moderate,False,False,False,True
Japan,JPN,2021,22.610664,216.73,8.565739,2.2,5.7487206,40.5405,96.8468,13.5135,18.6937,74.3243,52.35,Moderate,False,False,False,False
Kazakhstan,KAZ,2021,12.438683,14.204567772,14.413251,4.1,-25.821585,27.4775,76.1261,5.8559,34.009,1.3514,33.46,Low,False,False,False,False
Kenya,KEN,2021,91.71598,10.85,0.374968,7.6,13.884295,93.2432,71.6216,85.5856,80.6306,79.2793,82.7,Very High,False,False,False,False
Kyrgyzstan,KGZ,2021,89.84105,13.0,1.425929,5.5,4.2888875,91.8919,75.6757,67.1171,60.1351,73.8739,76.66,Very High,False,False,False,False
Cambodia,KHM,2021,52.93441,4.6000000000000005,1.14706,3.0,,73.8739,59.4595,70.7207,22.973,39.1892,56.96,High,False,False,False,True
Kiribati,KIR,2021,0.0,0.0,0.555062,7.9,,4.0541,4.2793,81.5315,82.2072,39.1892,32.73,Low,False,False,False,True
Saint Kitts and Nevis,KNA,2021,4.5454545,0.01,4.995041,-0.9,,17.1171,11.2613,30.6306,6.7568,39.1892,19.44,Low,False,False,False,True
South Korea,KOR,2021,7.7737374,45.75,11.886424,4.3,27.350367,23.4234,90.0901,9.009,35.3604,82.8829,48.64,Moderate,False,False,False,False
Kosovo,KSV,2021,,,3.396106,10.7,,50.0,50.0,45.9459,89.4144,39.1892,53.68,Moderate,True,True,False,True
Kuwait,KWT,2021,0.070204996,0.05,24.972098,1.1,,9.9099,18.018,0.9009,12.3874,39.1892,15.35,Low,False,False,False,True
Laos,LAO,2021,72.95471,29.16,2.798295,2.1,,84.2342,84.2342,50.4505,17.7928,39.1892,62.44,High,False,False,False,True
Lebanon,LBN,2021,5.639281,1.16,4.462819,-10.0,,20.2703,40.991,34.6847,1.3514,39.1892,27.61,Low,False,False,False,True
Liberia,LBR,2021,57.608692,0.53,0.230149,5.0,,75.2252,31.3063,90.0901,49.7748,39.1892,57.25,High,False,False,False,True
Libya,LBY,2021,0.031230481,0.01,11.064887,28.3,,8.5586,11.2613,9.9099,99.5495,39.1892,27.68,Low,False,False,False,True
Saint Lucia,LCA,2021,0.0,0.0,2.704837,11.3,,4.0541,4.2793,51.8018,91.4414,39.1892,29.65,Low,False,False,False,True
Liechtenstein,LIE,2021,,,3.866656,,,50.0,50.0,42.7928,49.7748,39.1892,47.26,Moderate,True,True,True,True
Sri Lanka,LKA,2021,37.713936,6.17,0.954416,3.5,-49.437771,64.4144,63.964,73.8739,29.0541,0.0,50.75,Moderate,False,False,False,False
Lesotho,LSO,2021,100.0,0.5,1.000312,1.8,,99.0991,29.2793,72.973,16.4414,39.1892,56.34,High,False,False,False,True
Lithuania,LTU,2021,62.829735,2.62,4.981189,6.0,42.414463,77.4775,54.955,31.5315,65.5405,86.036,64.45,High,False,False,False,False
Luxembourg,LUX,2021,80.4878,0.99,13.067857,7.2,125.06548,87.8378,38.2883,8.1081,77.7027,99.5495,63.73,High,False,False,False,False
Latvia,LVA,2021,63.589745,3.72,3.87755,4.3,61.617077,78.3784,57.2072,41.8919,35.3604,88.7387,62.71,High,False,False,False,False
Macao,MAC,2021,0.0,0.0,1.874101,19.3,,4.0541,4.2793,62.6126,98.1982,39.1892,32.29,Low,False,False,False,True
Morocco,MAR,2021,19.806295,8.18,1.903564,8.0,-4.8800812,36.4865,67.5676,62.1622,83.1081,4.955,50.37,Moderate,False,False,False,False
Moldova,MDA,2021,6.4564567,0.43,1.829658,13.9,,21.1712,27.4775,63.0631,95.9459,39.1892,42.95,Moderate,False,False,False,True
Madagascar,MDG,2021,34.44976,0.72,0.146784,5.7,-5.3745308,61.2613,35.5856,94.1441,62.3874,4.0541,51.36,Moderate,False,False,False,False
Maldives,MDV,2021,7.5757575,0.05,4.06203,41.7,,22.973,18.018,39.1892,100.0,39.1892,38.15,Moderate,False,False,False,True
Mexico,MEX,2021,23.9353,80.64999999999999,3.213801,5.8,28.653582,43.2432,92.7928,47.7477,63.7387,83.3333,65.39,High,False,False,False,False
Marshall Islands,MHL,2021,,,3.780319,1.0,,50.0,50.0,43.6937,11.2613,39.1892,41.62,Moderate,True,True,False,True
North Macedonia,MKD,2021,29.545452,1.1700000000000002,3.257478,3.9,,56.7568,41.4414,47.2973,32.4324,39.1892,45.23,Moderate,False,False,False,True
Mali,MLI,2021,35.9882,1.22,0.190357,3.1,,63.5135,42.3423,91.8919,23.8739,39.1892,52.88,Moderate,False,False,False,True
Malta,MLT,2021,10.138248,0.22,3.273205,12.3,86.295029,25.6757,25.2252,46.8468,93.4685,94.5946,49.25,Moderate,False,False,False,False
Myanmar,MMR,2021,41.905186,9.37,0.674871,-17.9,,69.3694,68.9189,77.9279,0.4505,39.1892,55.68,High,False,False,False,True
Montenegro,MNE,2021,60.62992,2.31,2.789458,13.0,,76.5766,50.0,50.9009,94.5946,39.1892,63.18,High,False,False,False,True
Mongolia,MNG,2021,9.831461,0.7,15.029627,1.6,,24.7748,33.3333,4.5045,15.5405,39.1892,24.65,Low,False,False,False,True
Mozambique,MOZ,2021,81.41637,16.21,0.223094,2.4,,89.1892,77.4775,90.991,20.045,39.1892,68.66,High,False,False,False,True
Mauritania,MRT,2021,26.595745,0.5,0.892337,2.4,,54.5045,29.2793,74.7748,20.045,39.1892,43.77,Moderate,False,False,False,True
Montserrat,MSR,2021,0.0,0.0,4.681398,,,4.0541,4.2793,33.3333,49.7748,39.1892,20.63,Low,False,False,True,True
Martinique,MTQ,2021,0.0,0.0,5.6946,,,4.0541,4.2793,25.6757,49.7748,39.1892,19.48,Low,False,False,True,True
Mauritius,MUS,2021,21.180555,0.6100000000000001,3.442622,3.4,17.463127,38.2883,32.4324,45.045,27.7027,81.5315,42.74,Moderate,False,False,False,False
Malawi,MWI,2021,83.802826,1.19,0.07804,4.6,,90.991,41.8919,96.3964,38.7387,39.1892,63.92,High,False,False,False,True
Malaysia,MYS,2021,19.313526,33.9277085,7.626434,3.3,-26.520288,35.5856,85.5856,17.5676,26.1261,0.9009,38.76,Moderate,False,False,False,False
Mayotte,MYT,2021,,,0.864775,,,50.0,50.0,75.2252,49.7748,39.1892,52.13,Moderate,True,True,True,True
Namibia,NAM,2021,95.5414,1.5,1.586792,3.5,,94.5946,44.5946,66.2162,29.0541,39.1892,59.7,High,False,False,False,True
New Caledonia,NCL,2021,13.690476,0.46,19.097542,,,30.1802,28.3784,2.7027,49.7748,39.1892,29.9,Low,False,False,True,True
Niger,NER,2021,11.111112,0.05,0.106876,1.4,,26.1261,18.018,95.9459,13.5135,39.1892,34.64,Low,False,False,False,True
Nigeria,NGA,2021,25.64347,8.07,0.641921,3.6,-22.881737,45.045,67.1171,78.8288,30.1802,1.8018,46.91,Moderate,False,False,False,False
Nicaragua,NIC,2021,54.643627,2.53,0.738594,10.3,,74.3243,54.5045,76.5766,88.2883,39.1892,66.53,High,False,False,False,True
Niue,NIU,2021,,0.0,6.154972,,,50.0,4.2793,22.5225,49.7748,39.1892,32.79,Low,True,False,True,True
Netherlands,NLD,2021,33.278515,40.47,8.058958,6.2,110.71052,60.3604,88.7387,15.7658,67.7928,98.6486,67.62,High,False,False,False,False
Norway,NOR,2021,99.543526,150.46999997999998,7.565853,3.9,101.15076,95.9459,96.3964,18.018,32.4324,97.2973,75.05,Very High,False,False,False,False
Nepal,NPL,2021,100.0,6.12,0.471885,4.8,,99.0991,63.5135,82.8829,41.4414,39.1892,70.14,High,False,False,False,True
Nauru,NRU,2021,0.0,0.0,4.764679,2.9,,4.0541,4.2793,32.4324,22.2973,39.1892,16.37,Low,False,False,False,True
New Zealand,NZL,2021,80.723175,35.05,6.587061,6.1,33.595364,88.2883,86.036,20.7207,66.6667,84.2342,73.74,High,False,False,False,False
Oman,OMN,2021,0.43763673,0.16,17.916536,3.1,,11.7117,22.5225,3.6036,23.8739,39.1892,19.14,Low,False,False,False,True
Pakistan,PAK,2021,29.739628,44.66,0.991834,5.8,,57.2072,89.6396,73.4234,63.7387,39.1892,66.02,High,False,False,False,True
Panama,PAN,2021,74.44147,8.330000000000002,2.994902,15.8,6.9162421,85.1351,68.018,49.0991,97.2973,74.7748,75.72,Very High,False,False,False,False
Panama Canal Zone,PCZ,2021,,,0.0,,,50.0,50.0,99.3243,49.7748,39.1892,55.74,High,True,True,True,True
Peru,PER,2021,60.61232,35.24,1.669323,13.3,7.6936641,76.1261,86.4865,64.4144,95.4955,75.2252,79.73,Very High,False,False,False,False
Philippines,PHL,2021,22.125694,23.94,1.266802,5.7,9.8803492,39.6396,81.982,69.3694,62.3874,77.4775,63.77,High,False,False,False,False
Palau,PLW,2021,,,13.229228,-13.4,,50.0,50.0,6.7568,0.9009,39.1892,34.53,Low,True,True,False,True
Papua New Guinea,PNG,2021,26.54321,1.29,0.85528,0.1,,45.4955,42.7928,75.6757,8.5586,39.1892,42.86,Moderate,False,False,False,True
Poland,POL,2021,17.094591,30.56,8.577376,6.9,68.158066,33.7838,84.6847,13.0631,74.5495,90.991,58.1,High,False,False,False,False
Puerto Rico,PRI,2021,2.7960527,0.51,0.0,0.2,,14.8649,30.4054,99.3243,9.009,39.1892,34.19,Low,False,False,False,True
North Korea,PRK,2021,83.183395,12.02,2.170811,,,89.6396,73.8739,59.009,49.7748,39.1892,67.56,High,False,False,True,True
Portugal,PRT,2021,63.814728,31.550000000000004,3.964704,5.5,87.920753,78.8288,85.1351,40.991,60.1351,95.045,74.36,High,False,False,False,False
Paraguay,PRY,2021,99.82509,39.95,1.279359,4.0,8.6564121,96.8468,87.8378,68.4685,33.3333,76.1261,77.7,Very High,False,False,False,False
Occupied Palestinian Territory,PSE,2021,23.255814,0.2,0.602376,7.0,,41.4414,24.3243,79.7297,76.1261,39.1892,47.77,Moderate,False,False,False,True
French Polynesia,PYF,2021,32.857143,0.2299999999999999,3.124014,,,59.9099,25.9009,48.6486,49.7748,39.1892,45.09,Moderate,False,False,True,True
Qatar,QAT,2021,0.08421053,0.04,35.587357,1.5,,10.3604,16.4414,0.0,14.4144,39.1892,15.26,Low,False,False,False,True
Réunion,REU,2021,30.795847,0.8900000000000001,4.246802,,,58.1081,36.9369,36.4865,49.7748,39.1892,45.48,Moderate,False,False,True,True
Romania,ROU,2021,44.545914,26.34,4.104127,5.9,48.557812,71.1712,82.8829,38.7387,64.6396,86.9369,70.62,High,False,False,False,False
Russia,RUS,2021,19.959293,221.62,12.09865,5.6,4.1177392,36.9369,97.2973,8.5586,61.036,73.4234,56.86,High,False,False,False,False
Rwanda,RWA,2021,60.0,0.51,0.130333,10.9,13.825374,75.6757,30.4054,94.5946,90.0901,78.8288,69.83,High,False,False,False,False
Saudi Arabia,SAU,2021,0.23274073,0.21,18.702989,3.9,,11.2613,24.7748,3.1532,32.4324,39.1892,20.79,Low,False,False,False,True
Sudan,SDN,2021,66.12417,10.97,0.460786,0.5,,80.6306,72.0721,83.3333,9.4595,39.1892,62.0,High,False,False,False,True
Senegal,SEN,2021,20.142603,1.13,0.80572,6.5,,37.3874,40.5405,76.1261,71.8468,39.1892,49.43,Moderate,False,False,False,True
Singapore,SGP,2021,2.0755422,1.11,5.471564,8.9,13.482553,13.964,40.0901,26.5766,86.2613,78.3784,42.89,Moderate,False,False,False,False
Saint Helena,SHN,2021,,,2.550917,,,50.0,50.0,53.6036,49.7748,39.1892,48.89,Moderate,True,True,True,True
Solomon Islands,SLB,2021,0.0,0.0,0.449141,-0.6,,4.0541,4.2793,83.7838,7.2072,39.1892,21.81,Low,False,False,False,True
Sierra Leone,SLE,2021,90.4762,0.19,0.154312,4.1,,92.3423,23.8739,92.7928,34.009,39.1892,58.57,High,False,False,False,True
El Salvador,SLV,2021,79.57317,5.220000000000001,1.140987,11.2,,87.3874,61.7117,71.1712,90.991,39.1892,71.85,High,False,False,False,True
Somalia,SOM,2021,9.756098,0.04,0.035766,3.3,,24.3243,16.4414,97.7477,26.1261,39.1892,35.87,Moderate,False,False,False,True
Saint Pierre and Miquelon,SPM,2021,0.0,0.0,10.544484,,,4.0541,4.2793,10.3604,49.7748,39.1892,17.18,Low,False,False,True,True
Serbia,SRB,2021,33.43219,12.4,4.230501,7.5,,60.8108,74.7748,36.9369,79.7297,39.1892,60.32,High,False,False,False,True
South Sudan,SSD,2021,1.754386,0.01,0.147192,5.3,,13.5135,11.2613,93.6937,58.5586,39.1892,35.59,Moderate,False,False,False,True
Sao Tome and Principe,STP,2021,10.0,0.01,0.591547,1.9,,25.2252,11.2613,80.6306,17.1171,39.1892,30.92,Low,False,False,False,True
Suriname,SUR,2021,50.49505,1.02,4.556728,-2.7,,72.5225,39.4144,34.2342,3.3784,39.1892,43.13,Moderate,False,False,False,True
